SDFB Person ID,Display Name,Gender,Historical Significance,Extant Birth Year,Extant Death Year,,,
10004173,Thomas Fell,male,judge,1599,1658,,,
10006632,Christopher Johnson,male,Latin poet and schoolmaster,1536,1597,,,
10009712,Thomas Pierson,male,Church of England clergyman,1573,1633,,,
10002637,Francis Coldock,male,bookseller,1530,1603,,,
10007006,John Knewstub,male,Church of England clergyman,1544,1624,,,
10001831,Robert Burton,male,writer,1577,1640,,,
10000564,Sir Andrew Balfour,male,botanist and antiquary,1630,1694,,,
10000566,Sir James Balfour of Denmiln and Kinnaird,male,antiquary and herald,1600,1657,,,
10007940,Sir Rice Mansel,male,soldier and administrator,1487,1559,,,
10012268,Thomas Vaughan,male,hermetic philosopher and alchemist,1621,1666,,,
10005432,Sir David Hamilton,male,man-midwife and physician,1663,1721,,,
10006144,Richard Hooker,male,theologian and philosopher,1554,1600,,,
10003466,Henry Dethick,male,Latin poet and writer on poetic theory,1547,1613,,,
10002268,Robert Chaloner,male,Church of England clergyman and educational benefactor,1547,1621,,,
10002538,Bartholomew Clerke,male,civil lawyer,1537,1590,,,
10001122,Sir William Blackett,male,landowner and mine owner,1657,1705,,,
10011904,William Thorne,male,classical and Hebrew scholar and Church of England clergyman,1568,1630,,,
10006974,Sir William Kirkcaldy of Grange,male,soldier and politician,1520,1573,,,
10001832,Simon Burton,male,publisher,1613,1663,,,
10005950,James Hill,male,antiquary,1697,1727,,,
10001091,Henry Birkhead,male,Latin poet,1617,1696,,,
10005238,Elizabeth Griffin,female,landowner,1691,1762,,,
10011504,Richard Steele,male,nonconformist minister,1629,1692,,,
10001123,Andro Blackhall,male,composer,1535,1609,,,
10002451,Anthony Chute,male,poet,1484,1594,,,
10005257,Sir Samuel Grimston,male,politician,1644,1700,,,
10007145,Benjamin Langwith,male,antiquary and Church of England clergyman,1684,1743,,,
10012059,Joseph Trapp,male,Church of England clergyman and writer,1679,1747,,,
10006620,Thomas Jevon,male,actor and playwright,1651,1688,,,
10010953,Edward Sharpham,male,playwright and pamphleteer,1576,1608,,,
10004594,Thomas Froysell,male,Church of England clergyman,1610,1673,,,
10003722,Isaac Dubourdieu,male,Reformed minister,1597,1700,,,
10003723,Jean Dubourdieu,male,Church of England clergyman,1643,1720,,,
10003377,Henry Deane,male,administrator and archbishop of Canterbury,1440,1503,,,
10003081,William Crosse,male,poet and translator,1589,1699,,,
10001090,George Birket,male,Roman Catholic archpriest,1549,1614,,,
10013307,Wanchese,male,,1584,1586,,,
10012418,Humphrey Walcot,male,,1586,1650,,,
10010027,Richard Pygott,male,composer and church musician,1439,1549,,,
10012219,Sir John Urry,male,army officer,1540,1650,,,
10006986,James Kirkwood,male,clergyman and advocate of parochial libraries,1650,1709,,,
10004984,Vincent Gookin,male,politician and author,1616,1659,,,
10010119,John Rastrick,male,Presbyterian minister,1650,1727,,,
10011700,Peter Studley,male,"vicar of St. Chad's, Shrewsbury",1600,1648,,,
10007243,Richard Leake,male,master gunner,1629,1696,,,
10005719,Sir John Hay,male,judge,1578,1654,,,
10009280,Samuel Palmer,male,dissenting minister and pamphleteer,1614,1724,,,
10002352,William Chedsey,male,Roman Catholic priest,1510,1577,,,
10011380,Henry Spittall,male,,1426,1536,,,
10005341,Francis Hacker,male,parliamentarian army officer and regicide,1550,1660,,,
